@RELATION activityRelation

@ATTRIBUTE orientation numeric
@ATTRIBUTE soundPredictionResult numeric
@ATTRIBUTE wifiPredictionResult numeric
@ATTRIBUTE hour numeric
@ATTRIBUTE activity {Bathroom,Midnightsnack,Cooking,Lunch,Dinner,Chopping,Washinginbathroom,Washingdishes,Breakfast}

@DATA
5,15,4,11,Cooking
5,15,4,11,Cooking
5,5,4,12,Cooking
5,5,4,12,Cooking
5,5,4,18,Cooking
5,5,4,18,Cooking
3,6,4,11,Cooking
4,6,4,11,Cooking
5,1,4,11,Cooking
5,1,4,11,Cooking
5,0,4,11,Cooking
5,0,4,11,Cooking
5,0,4,12,Cooking
5,0,4,12,Cooking
5,0,4,12,Cooking
5,0,4,12,Cooking
5,0,4,12,Cooking
5,0,4,12,Cooking
5,2,4,10,Cooking
5,2,4,10,Cooking
5,?,4,10,Cooking
5,?,4,10,Cooking
5,6,4,10,Cooking
5,6,4,10,Cooking
5,15,4,10,Cooking
5,15,4,10,Cooking
5,6,4,10,Cooking
5,6,4,10,Cooking
3,?,4,14,Cooking
3,?,4,14,Cooking
3,5,4,14,Cooking
3,5,4,14,Cooking
3,1,4,14,Cooking
3,1,4,14,Cooking
5,5,4,20,Cooking
5,11,4,12,Cooking
5,?,4,12,Cooking
5,?,4,12,Cooking
5,7,4,17,Cooking
5,7,4,17,Cooking
5,?,4,17,Cooking
5,?,4,17,Cooking
3,7,4,11,Cooking
3,7,4,11,Cooking
3,?,4,11,Cooking
3,?,4,11,Cooking
3,2,4,11,Cooking
3,2,4,11,Cooking
3,5,4,11,Cooking
3,5,4,11,Cooking
5,6,4,12,Cooking
5,6,4,12,Cooking
3,?,4,12,Cooking
5,?,4,12,Cooking
5,5,4,12,Cooking
5,5,4,12,Cooking
5,7,4,12,Cooking
5,7,4,12,Cooking
5,?,4,12,Cooking
5,?,4,12,Cooking
5,6,4,12,Cooking
5,6,4,12,Cooking
5,5,4,18,Cooking
5,5,4,18,Cooking
5,?,4,18,Cooking
5,?,4,18,Cooking
5,5,4,18,Cooking
5,5,4,18,Cooking
3,7,4,23,Cooking
3,7,4,23,Cooking
5,8,4,19,Cooking
5,8,4,19,Cooking
5,7,4,19,Cooking
5,7,4,19,Cooking
5,?,4,19,Cooking
5,?,4,19,Cooking
5,5,4,19,Cooking
5,5,4,19,Cooking
5,18,4,19,Cooking
5,18,4,19,Cooking
5,2,4,19,Cooking
5,2,4,19,Cooking
5,5,4,00,Cooking
5,5,4,00,Cooking
5,?,4,00,Cooking
5,?,4,00,Cooking
5,2,4,00,Cooking
5,2,4,00,Cooking
3,2,4,11,Cooking
3,2,4,11,Cooking
3,?,4,11,Cooking
3,?,4,11,Cooking
5,5,4,11,Cooking
5,5,4,11,Cooking
5,6,4,19,Cooking
5,6,4,19,Cooking
5,18,4,09,Cooking
5,18,4,09,Cooking
5,?,4,09,Cooking
5,?,4,09,Cooking
5,7,4,09,Cooking
5,7,4,09,Cooking
5,6,4,09,Cooking
5,6,4,09,Cooking
5,5,4,13,Cooking
4,5,4,13,Cooking
4,?,4,13,Cooking
4,?,4,13,Cooking
4,1,4,13,Cooking
4,1,4,13,Cooking
4,6,4,13,Cooking
4,6,4,13,Cooking
3,2,4,13,Cooking
3,2,4,13,Cooking
3,7,4,13,Cooking
3,7,4,13,Cooking
3,7,4,13,Cooking
3,7,4,13,Cooking
3,14,4,13,Cooking
3,14,4,13,Cooking
4,15,4,13,Cooking
4,15,4,13,Cooking
4,?,4,13,Cooking
4,?,4,13,Cooking
5,18,4,13,Cooking
5,18,4,13,Cooking
3,?,4,13,Cooking
3,?,4,13,Cooking
3,15,4,13,Cooking
3,15,4,13,Cooking
3,1,4,13,Cooking
3,1,4,13,Cooking
0,0,4,00,Midnightsnack
0,0,4,00,Midnightsnack
0,2,4,00,Midnightsnack
0,2,4,00,Midnightsnack
7,5,4,23,Midnightsnack
7,5,4,23,Midnightsnack
7,5,4,23,Midnightsnack
7,5,4,23,Midnightsnack
7,6,4,23,Midnightsnack
7,6,4,23,Midnightsnack
7,?,4,23,Midnightsnack
7,?,4,23,Midnightsnack
7,0,4,23,Midnightsnack
7,0,4,23,Midnightsnack
0,7,4,23,Midnightsnack
0,7,4,23,Midnightsnack
0,1,4,23,Midnightsnack
0,1,4,23,Midnightsnack
7,7,4,23,Midnightsnack
7,7,4,23,Midnightsnack
7,?,4,00,Midnightsnack
7,?,4,00,Midnightsnack
7,1,4,00,Midnightsnack
7,1,4,00,Midnightsnack
7,0,4,00,Midnightsnack
7,0,4,00,Midnightsnack
0,0,4,22,Midnightsnack
