@RELATION activityRelation

@ATTRIBUTE orientation numeric
@ATTRIBUTE soundPredictionResult numeric
@ATTRIBUTE wifiPredictionResult numeric
@ATTRIBUTE hour numeric
@ATTRIBUTE activity {Bathroom,Midnightsnack,Cooking,Cookingchopping,Lunch,Dinner,Washinginbathroom,Washingdishes,Breakfast}

@DATA
5,4,4,12,Cooking
5,4,4,12,Cooking
5,4,4,12,Cooking
5,4,4,12,Cooking
5,2,4,10,Cooking
5,2,4,10,Cooking
5,?,4,10,Cooking
5,?,4,10,Cooking
5,6,4,10,Cooking
5,6,4,10,Cooking
5,?,4,10,Cooking
5,?,4,10,Cooking
5,2,4,10,Cooking
5,2,4,10,Cooking
3,?,4,14,Cooking
3,?,4,14,Cooking
3,1,4,14,Cooking
3,1,4,14,Cooking
3,0,4,14,Cooking
3,0,4,14,Cooking
5,0,4,20,Cooking
5,4,4,12,Cooking
5,?,4,12,Cooking
5,?,4,12,Cooking
5,2,4,17,Cooking
5,2,4,17,Cooking
5,?,4,17,Cooking
5,?,4,17,Cooking
3,2,4,11,Cooking
3,2,4,11,Cooking
3,?,4,11,Cooking
3,?,4,11,Cooking
3,4,4,11,Cooking
3,4,4,11,Cooking
3,4,4,11,Cooking
3,4,4,11,Cooking
5,2,4,12,Cooking
5,2,4,12,Cooking
3,?,4,12,Cooking
5,?,4,12,Cooking
5,1,4,12,Cooking
5,1,4,12,Cooking
5,0,4,12,Cooking
5,0,4,12,Cooking
5,?,4,12,Cooking
5,?,4,12,Cooking
5,2,4,12,Cooking
5,2,4,12,Cooking
5,?,4,18,Cooking
5,?,4,18,Cooking
5,?,4,18,Cooking
5,?,4,18,Cooking
5,4,4,18,Cooking
5,4,4,18,Cooking
3,2,4,23,Cooking
3,2,4,23,Cooking
5,?,4,19,Cooking
5,?,4,19,Cooking
5,0,4,19,Cooking
5,0,4,19,Cooking
5,?,4,19,Cooking
5,?,4,19,Cooking
5,4,4,19,Cooking
5,4,4,19,Cooking
5,4,4,19,Cooking
5,4,4,19,Cooking
5,6,4,19,Cooking
5,6,4,19,Cooking
5,2,4,00,Cooking
5,2,4,00,Cooking
5,?,4,00,Cooking
5,?,4,00,Cooking
5,4,4,00,Cooking
5,4,4,00,Cooking
3,4,4,11,Cooking
3,4,4,11,Cooking
3,?,4,11,Cooking
3,?,4,11,Cooking
5,4,4,11,Cooking
5,4,4,11,Cooking
5,2,4,19,Cooking
5,2,4,19,Cooking
5,4,4,09,Cooking
5,4,4,09,Cooking
5,?,4,09,Cooking
5,?,4,09,Cooking
5,2,4,09,Cooking
5,2,4,09,Cooking
5,2,4,09,Cooking
5,2,4,09,Cooking
5,?,4,13,Cooking
4,?,4,13,Cooking
4,?,4,13,Cooking
4,?,4,13,Cooking
4,4,4,13,Cooking
4,4,4,13,Cooking
4,2,4,13,Cooking
4,2,4,13,Cooking
3,2,4,13,Cooking
3,2,4,13,Cooking
3,?,4,13,Cooking
3,?,4,13,Cooking
3,0,4,13,Cooking
3,0,4,13,Cooking
3,6,4,13,Cooking
3,6,4,13,Cooking
4,4,4,13,Cooking
4,4,4,13,Cooking
4,?,4,13,Cooking
4,?,4,13,Cooking
5,2,4,13,Cooking
5,2,4,13,Cooking
3,?,4,13,Cooking
3,?,4,13,Cooking
3,6,4,13,Cooking
3,6,4,13,Cooking
3,4,4,13,Cooking
3,4,4,13,Cooking
0,4,4,00,Midnightsnack
0,4,4,00,Midnightsnack
0,0,4,00,Midnightsnack
0,0,4,00,Midnightsnack
7,6,4,23,Midnightsnack
7,6,4,23,Midnightsnack
7,6,4,23,Midnightsnack
7,6,4,23,Midnightsnack
7,2,4,23,Midnightsnack
7,2,4,23,Midnightsnack
7,?,4,23,Midnightsnack
7,?,4,23,Midnightsnack
7,4,4,23,Midnightsnack
7,4,4,23,Midnightsnack
0,6,4,23,Midnightsnack
0,6,4,23,Midnightsnack
0,6,4,23,Midnightsnack
0,6,4,23,Midnightsnack
7,?,4,23,Midnightsnack
7,?,4,23,Midnightsnack
7,?,4,00,Midnightsnack
7,?,4,00,Midnightsnack
7,1,4,00,Midnightsnack
7,1,4,00,Midnightsnack
7,4,4,00,Midnightsnack
7,4,4,00,Midnightsnack
0,4,4,22,Midnightsnack
0,4,4,22,Midnightsnack
0,4,4,22,Midnightsnack
0,4,4,22,Midnightsnack
7,4,4,23,Midnightsnack
7,4,4,23,Midnightsnack
7,4,4,23,Midnightsnack
7,4,4,23,Midnightsnack
7,4,4,21,Midnightsnack
7,4,4,21,Midnightsnack
7,?,4,22,Midnightsnack
1,?,4,22,Midnightsnack
